work_year,experience_level,employment_type,job_title,salary,employee_residence,remote_ratio,company_location,company_size
2023,Senior,Full-time,Machine Learning Engineer,200000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,130000,North America,onsite,North America,Medium
2023,Senior,Full-time,Other,90000,North America,onsite,North America,Medium
2023,Senior,Full-time,Other,72000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,253200,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,90700,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,184590,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,162500,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,130000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,105380,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,64500,North America,onsite,North America,Medium
2023,Junior,Full-time,Data Analyst,100000,Africa,remote,Africa,Large
2023,Junior,Full-time,Data Analyst,30000,Africa,remote,Africa,Large
2022,Intermediate,Full-time,Machine Learning Engineer,20984,Asia,hybrid,Asia,Large
2023,Junior,Full-time,Research Scientist,204620,North America,onsite,North America,Large
2023,Junior,Full-time,Research Scientist,110680,North America,onsite,North America,Large
2023,Senior,Full-time,Data Engineer,270703,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,221484,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,212750,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,185000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,262000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,245000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,275300,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,183500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,218500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,199098,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,203300,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,123600,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,189110,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,139000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Scientist,258750,North America,onsite,North America,Medium
2023,Director,Full-time,Data Scientist,185000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,231500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,166000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,172500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,110500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,238000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,176000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,237000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,201450,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,309400,North America,onsite,North America,Large
2023,Senior,Full-time,Research Scientist,159100,North America,onsite,North America,Large
2023,Senior,Full-time,Data Engineer,115000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,81500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,237000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,201450,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,280000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,210000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,280100,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,168100,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,193500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,139000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Scientist,65062,Asia,onsite,Asia,Large
2023,Senior,Full-time,Machine Learning Engineer,150000,Europe,remote,North America,Medium
2023,Intermediate,Full-time,Machine Learning Engineer,69751,Asia,remote,Europe,Small
2022,Junior,Full-time,Machine Learning Engineer,300000,Asia,hybrid,Asia,Large
2023,Intermediate,Full-time,Machine Learning Engineer,96578,Europe,remote,Europe,Large
2023,Senior,Full-time,Data Analyst,185900,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,129300,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,225000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,175000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,185000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,140000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,48289,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Scientist,38631,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Scientist,105000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,70000,North America,onsite,North America,Medium
2023,Junior,Full-time,Machine Learning Engineer,163196,North America,onsite,North America,Medium
2023,Junior,Full-time,Machine Learning Engineer,145885,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,217000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,185000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,202800,North America,onsite,North America,Large
2023,Senior,Full-time,Data Analyst,104300,North America,onsite,North America,Large
2023,Senior,Full-time,Data Analyst,145000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,65000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,165000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,132300,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,179170,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,94300,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,152500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,116450,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,247300,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,133800,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,203000,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,133000,North America,onsite,North America,Medium
2023,Junior,Full-time,Research Scientist,220000,North America,hybrid,North America,Large
2022,Junior,Full-time,Machine Learning Engineer,56536,Europe,remote,Europe,Small
2023,Senior,Full-time,Data Scientist,120000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,289800,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,214000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,179820,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,143860,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,283200,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,188800,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,214200,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,185900,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,129300,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,252000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,129000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,155000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,140000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,161800,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,141600,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,176100,North America,onsite,North America,Large
2023,Intermediate,Full-time,Data Engineer,100000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Engineer,70000,North America,remote,North America,Medium
2023,Junior,Full-time,Data Engineer,85000,North America,onsite,North America,Medium
2023,Junior,Full-time,Data Engineer,65000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,138784,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,83270,North America,remote,North America,Medium
2023,Junior,Full-time,Data Analyst,75000,North America,onsite,North America,Medium
2023,Junior,Full-time,Data Analyst,70000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,204500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,138900,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,212200,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,95000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,75000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,195000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,160000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,230000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,143200,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,105000,North America,hybrid,North America,Large
2023,Intermediate,Full-time,Data Scientist,20670,Asia,remote,Asia,Large
2023,Intermediate,Full-time,Data Analyst,46178,Europe,onsite,Europe,Medium
2023,Intermediate,Full-time,Data Analyst,42533,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Engineer,145000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,168400,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,105200,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,190000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,150000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,150000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,120000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,120000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,54685,Africa,remote,Africa,Medium
2023,Senior,Full-time,Data Analyst,42533,Africa,remote,Africa,Medium
2023,Senior,Full-time,Data Engineer,241000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,155000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,220000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,190000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Scientist,66837,Europe,onsite,Europe,Medium
2023,Intermediate,Full-time,Data Scientist,54685,Europe,onsite,Europe,Medium
2020,Director,Full-time,Data Analyst,15000,Africa,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,85066,Europe,remote,Europe,Medium
2023,Intermediate,Full-time,Data Engineer,57723,Europe,remote,Europe,Medium
2023,Junior,Full-time,Data Analyst,85000,North America,remote,North America,Medium
2023,Junior,Full-time,Data Analyst,75000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,160000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Machine Learning Engineer,300000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Machine Learning Engineer,250000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,228000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,186000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,190000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Research Scientist,230000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Research Scientist,200000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,180000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,115000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,200000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,53654,Europe,hybrid,Europe,Small
2023,Director,Full-time,Data Engineer,220000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Engineer,205000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,180000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,200000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,150000,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,215000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,170000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,247500,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,172200,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,224000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,176000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,120000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,75000,North America,remote,North America,Medium
2023,Junior,Full-time,Data Engineer,17022,Asia,remote,Asia,Large
2023,Senior,Full-time,Data Scientist,68318,Oceania,remote,Europe,Medium
2023,Intermediate,Full-time,Machine Learning Engineer,75020,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Analyst,140000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,120000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,128000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Manager,269600,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,100000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,80000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,250000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,162500,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Machine Learning Engineer,200000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,100000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Engineer,145000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Engineer,115000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,203500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,152000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,239000,North America,onsite,North America,Large
2023,Senior,Full-time,Data Scientist,122900,North America,onsite,North America,Large
2023,Senior,Full-time,Data Scientist,237000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,145000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,191765,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,134236,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,190000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,112000,North America,remote,North America,Medium
2022,Senior,Full-time,Data Scientist,88256,Europe,remote,Europe,Large
2023,Senior,Full-time,Data Analyst,135000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,105500,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,293000,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,185000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,80000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,70000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,160000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,175000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,145000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,200000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,148500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,240500,North America,onsite,North America,Large
2023,Senior,Full-time,Data Engineer,123700,North America,onsite,North America,Large
2023,Senior,Full-time,Data Analyst,152900,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,117100,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,173000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,113000,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,260000,North America,onsite,North America,Large
2023,Director,Full-time,Data Engineer,175000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Engineer,110000,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,130000,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,110000,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,205000,North America,remote,North America,Medium
2023,Senior,Full-time,Research Scientist,184000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,149500,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,127075,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,219535,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,146115,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,135000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,199000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,162000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Analyst,221000,North America,remote,North America,Medium
2023,Director,Full-time,Data Analyst,153000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,187000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,128000,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,210000,North America,onsite,North America,Medium
2023,Senior,Full-time,Research Scientist,136000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,100000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,179000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,109000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,245000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,180000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,142000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Manager,198800,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Manager,105200,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,125000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,112000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,210000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,155000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Manager,115000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Manager,86000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,165000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,140000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,139000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,106000,North America,onsite,North America,Medium
2023,Junior,Full-time,Data Analyst,40663,North America,onsite,North America,Large
2022,Senior,Full-time,Machine Learning Engineer,275000,North America,onsite,North America,Small
2023,Senior,Freelance,Research Scientist,50000,Europe,hybrid,Europe,Small
2023,Intermediate,Full-time,Machine Learning Engineer,280700,North America,remote,North America,Medium
2023,Intermediate,Full-time,Machine Learning Engineer,150450,North America,remote,North America,Medium
2023,Junior,Full-time,Data Scientist,51753,North America,remote,North America,Large
2023,Senior,Full-time,Data Engineer,250500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,159500,North America,onsite,North America,Medium
2023,Junior,Full-time,Data Scientist,130001,North America,remote,North America,Medium
2023,Junior,Full-time,Data Scientist,71907,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Scientist,93918,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Scientist,51962,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,175000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,135000,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,257000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,147000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,222000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,203000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,133200,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,221000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,147000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,185900,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,129300,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,238000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,156000,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,304000,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,199000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Engineer,48289,Europe,remote,Europe,Medium
2023,Senior,Full-time,Data Engineer,150000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,130000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,140000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,110000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Analyst,90000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,75000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Research Scientist,195895,Europe,onsite,Europe,Medium
2023,Intermediate,Full-time,Research Scientist,102772,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Engineer,240000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,183600,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Other,130000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Other,80000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,250000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,160000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,120000,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,289076,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,202353,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,155000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,200000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,157750,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,104650,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Scientist,180000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Scientist,140000,North America,remote,North America,Medium
2023,Director,Full-time,Data Scientist,200000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Scientist,145000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,68000,North America,onsite,North America,Large
2023,Junior,Full-time,Data Engineer,60000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Engineer,125000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,90000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,105000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,90000,North America,remote,North America,Medium
2023,Junior,Full-time,Research Scientist,155000,North America,onsite,North America,Medium
2023,Junior,Full-time,Research Scientist,125000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,241000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,181000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,252000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,154000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Engineer,180000,North America,onsite,North America,Medium
2023,Director,Full-time,Data Engineer,155000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,191765,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,134236,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,146000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,75000,North America,onsite,North America,Medium
2023,Junior,Full-time,Data Analyst,64200,North America,remote,North America,Medium
2023,Junior,Full-time,Data Analyst,56100,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,170000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,208450,North America,remote,North America,Medium
2023,Senior,Full-time,Data Analyst,170550,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,125000,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,100000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Manager,135000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Manager,120000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,200000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,170000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,171250,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Scientist,113750,Europe,onsite,Europe,Medium
2023,Senior,Full-time,Data Analyst,153600,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Analyst,100500,North America,onsite,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,115000,North America,remote,North America,Medium
2023,Senior,Full-time,Machine Learning Engineer,95000,North America,remote,North America,Medium
2023,Intermediate,Full-time,Data Analyst,182500,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,121500,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,203100,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Engineer,114500,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Analyst,72914,Europe,onsite,Europe,Medium
2023,Intermediate,Full-time,Data Analyst,54685,Europe,onsite,Europe,Medium
2023,Junior,Full-time,Data Engineer,92700,North America,remote,North America,Medium
2023,Junior,Full-time,Data Engineer,61800,North America,remote,North America,Medium
2023,Senior,Full-time,Data Engineer,130000,North America,remote,North America,Medium
2023,Senior,Full-time,Data Scientist,258000,North America,onsite,North America,Medium
2023,Senior,Full-time,Data Scientist,190000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,167500,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,106500,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,146000,North America,onsite,North America,Medium
2023,Intermediate,Full-time,Data Engineer,75000,North America,onsite,North America,Medium
